DSS File:	C:\Users\B4EDHDRJ\Documents\Hydraulics Branch\Flood Freq. Analysis\POR_Stages.dss
DSS Path:	/MISSISSIPPI RIVER/GREENVILLE/STAGE/01JAN1882/1DAY/OBS
Season Start:	1Mar
Season Stop:	27Nov
Start Year:	1882
Stop Year:	2016
Date	Jul 20, 2016	2:44:25 PM


Duration	Median Stage	Mean Stage	Std Dev	Mean Diff	
--------	------------	----------	-------	---------	
2.5%	36.70	37.00	6.89	0.67
5.0%	35.20	35.49	7.26	1.98
7.5%	33.70	33.93	7.73	3.32
10.0%	32.00	32.16	7.95	5.06
12.5%	30.28	30.34	8.08	6.77


Duration:	2.5%
Days:	7

Rank	Value	Window Start	Window Stop
1	53.00	May 28, 1929	Jun 3, 1929
2	52.91	May 13, 2011	May 19, 2011
3	51.80	Apr 22, 1922	Apr 28, 1922
4	51.50	Apr 16, 1927	Apr 22, 1927
5	50.00	Apr 18, 1913	Apr 24, 1913
6	49.50	Apr 9, 1912	Apr 15, 1912
7	48.00	Mar 21, 1903	Mar 27, 1903
8	46.90	May 10, 1973	May 16, 1973
9	46.70	Jun 3, 1933	Jun 9, 1933
10	46.39	Apr 16, 2008	Apr 22, 2008
11	46.30	Apr 16, 1920	Apr 22, 1920
12	45.80	Apr 18, 1898	Apr 24, 1898
13	45.40	Jul 5, 1928	Jul 11, 1928
14	45.40	Apr 16, 1917	Apr 22, 1917
15	45.40	Mar 26, 1897	Apr 1, 1897
16	45.20	Apr 3, 1935	Apr 9, 1935
17	44.80	May 23, 1983	May 29, 1983
18	44.65	Mar 25, 1887	Mar 31, 1887
19	44.50	Apr 20, 1906	Apr 26, 1906
20	44.40	Feb 28, 1937	Mar 6, 1937
21	44.40	Mar 26, 1909	Apr 1, 1909
22	44.40	May 31, 1908	Jun 6, 1908
23	44.10	May 23, 1893	May 29, 1893
24	44.10	May 28, 1892	Jun 3, 1892
25	43.98	Apr 23, 1888	Apr 29, 1888
26	43.50	Mar 19, 1997	Mar 25, 1997
27	43.20	Apr 18, 1904	Apr 24, 1904
28	43.20	Mar 22, 1890	Mar 28, 1890
29	43.10	Mar 30, 1891	Apr 5, 1891
30	42.90	Apr 6, 1945	Apr 12, 1945
31	42.80	Apr 8, 1975	Apr 14, 1975
32	42.80	Apr 14, 1899	Apr 20, 1899
33	42.70	Apr 24, 1979	Apr 30, 1979
34	42.70	Feb 29, 1932	Mar 6, 1932
35	41.90	May 22, 2009	May 28, 2009
36	41.90	Jun 7, 1995	Jun 13, 1995
37	41.70	Feb 29, 1916	Mar 6, 1916
38	41.60	Apr 3, 1923	Apr 9, 1923
39	41.40	Apr 4, 1907	Apr 10, 1907
40	41.32	Feb 28, 1882	Mar 6, 1882
41	41.30	Apr 3, 1919	Apr 9, 1919
42	41.20	May 21, 1984	May 27, 1984
43	41.20	May 24, 1961	May 30, 1961
44	41.10	Apr 30, 1911	May 6, 1911
45	40.93	Mar 5, 1884	Mar 11, 1884
46	40.82	May 2, 1886	May 8, 1886
47	40.80	Apr 27, 1994	May 3, 1994
48	40.70	Jun 2, 1943	Jun 8, 1943
49	40.65	May 28, 2002	Jun 3, 2002
50	40.50	Apr 24, 1936	Apr 30, 1936
51	40.30	Mar 8, 1883	Mar 14, 1883
52	39.69	Jul 19, 2015	Jul 25, 2015
53	39.50	Feb 28, 1950	Mar 6, 1950
54	39.30	May 9, 1944	May 15, 1944
55	38.57	May 24, 2003	May 30, 2003
56	38.30	May 10, 1998	May 16, 1998
57	38.10	Mar 29, 1939	Apr 4, 1939
58	37.76	May 16, 2013	May 22, 2013
59	37.60	May 5, 1885	May 11, 1885
60	37.50	May 13, 1993	May 19, 1993
61	37.40	May 27, 1996	Jun 2, 1996
62	37.37	May 17, 2010	May 23, 2010
63	37.30	Apr 8, 1962	Apr 14, 1962
64	37.30	May 3, 1921	May 9, 1921
65	37.00	Jun 4, 1990	Jun 10, 1990
66	37.00	May 9, 1901	May 15, 1901
67	36.90	Jun 15, 1915	Jun 21, 1915
68	36.70	Mar 13, 1985	Mar 19, 1985
69	36.40	Mar 20, 1910	Mar 26, 1910
70	36.40	May 31, 1905	Jun 6, 1905
71	36.20	Apr 24, 1938	Apr 30, 1938
72	36.20	Oct 20, 1926	Oct 26, 1926
73	35.90	Apr 20, 1914	Apr 26, 1914
74	35.60	Jun 15, 1974	Jun 21, 1974
75	35.50	May 11, 1970	May 17, 1970
76	35.40	Mar 3, 1989	Mar 9, 1989
77	35.40	Apr 12, 1948	Apr 18, 1948
78	35.20	Jun 3, 1957	Jun 9, 1957
79	35.20	Apr 4, 1952	Apr 10, 1952
80	35.20	Mar 25, 1902	Mar 31, 1902
81	35.02	Mar 13, 2016	Mar 19, 2016
82	34.90	Apr 5, 1978	Apr 11, 1978
83	34.50	Mar 26, 1894	Apr 1, 1894
84	34.40	Apr 8, 1980	Apr 14, 1980
85	34.30	Mar 31, 1963	Apr 6, 1963
86	34.20	Apr 16, 1965	Apr 22, 1965
87	33.90	Apr 16, 1924	Apr 22, 1924
88	33.60	Apr 28, 1991	May 4, 1991
89	33.60	Mar 18, 1930	Mar 24, 1930
90	33.60	Apr 16, 1896	Apr 22, 1896
91	33.35	Jun 30, 1889	Jul 6, 1889
92	33.20	Feb 28, 1949	Mar 6, 1949
93	33.10	May 17, 1958	May 23, 1958
94	33.10	Mar 22, 1900	Mar 28, 1900
95	32.90	May 6, 1972	May 12, 1972
96	32.90	Apr 4, 1955	Apr 10, 1955
97	32.80	May 2, 1947	May 8, 1947
98	32.70	Apr 21, 1942	Apr 27, 1942
99	32.60	Apr 1, 1982	Apr 7, 1982
100	32.50	Mar 3, 1918	Mar 9, 1918
101	32.30	Mar 29, 1964	Apr 4, 1964
102	32.20	Mar 9, 1971	Mar 15, 1971
103	32.00	Mar 2, 2001	Mar 8, 2001
104	32.00	Apr 29, 1969	May 5, 1969
105	32.00	Mar 7, 1951	Mar 13, 1951
106	31.53	Mar 16, 2004	Mar 22, 2004
107	31.50	Apr 20, 1960	Apr 26, 1960
108	31.40	Apr 8, 1934	Apr 14, 1934
109	31.30	May 11, 1999	May 17, 1999
110	30.90	Apr 11, 1968	Apr 17, 1968
111	30.34	Apr 16, 2014	Apr 22, 2014
112	30.30	Oct 15, 1986	Oct 21, 1986
113	30.00	May 6, 1940	May 12, 1940
114	30.00	Mar 3, 1925	Mar 9, 1925
115	29.80	Apr 2, 1946	Apr 8, 1946
116	29.67	Apr 14, 2005	Apr 20, 2005
117	29.50	Mar 8, 1987	Mar 14, 1987
118	29.50	May 12, 1966	May 18, 1966
119	29.00	May 25, 1967	May 31, 1967
120	28.20	Mar 1, 1956	Mar 7, 1956
121	28.09	Mar 25, 2012	Mar 31, 2012
122	27.70	May 23, 1953	May 29, 1953
123	27.60	Jun 12, 1981	Jun 18, 1981
124	27.23	Apr 25, 2007	May 1, 2007
125	26.60	Mar 29, 1895	Apr 4, 1895
126	26.30	Apr 13, 1988	Apr 19, 1988
127	26.30	Apr 15, 1977	Apr 21, 1977
128	26.20	Mar 2, 1976	Mar 8, 1976
129	25.80	Apr 15, 1931	Apr 21, 1931
130	25.60	Feb 28, 1959	Mar 6, 1959
131	25.53	Mar 26, 1992	Apr 1, 1992
132	24.30	Nov 9, 1941	Nov 15, 1941
133	24.10	Mar 22, 2006	Mar 28, 2006
134	23.20	Jul 1, 2000	Jul 7, 2000
135	18.20	May 6, 1954	May 12, 1954

Duration:	5.0%
Days:	14

Rank	Value	Window Start	Window Stop
1	51.90	May 24, 1929	Jun 6, 1929
2	51.60	Apr 20, 1922	May 3, 1922
3	51.14	May 10, 2011	May 23, 2011
4	49.30	Apr 15, 1913	Apr 28, 1913
5	49.10	Apr 10, 1927	Apr 23, 1927
6	47.70	Apr 6, 1912	Apr 19, 1912
7	46.60	Mar 18, 1903	Mar 31, 1903
8	46.50	May 4, 1973	May 17, 1973
9	45.90	Apr 9, 1920	Apr 22, 1920
10	45.64	Apr 13, 2008	Apr 26, 2008
11	45.10	May 30, 1933	Jun 12, 1933
12	44.80	Apr 2, 1935	Apr 15, 1935
13	44.80	Jul 2, 1928	Jul 15, 1928
14	44.60	Apr 12, 1917	Apr 25, 1917
15	44.60	Mar 25, 1897	Apr 7, 1897
16	44.38	Mar 21, 1887	Apr 3, 1887
17	44.20	May 21, 1983	Jun 3, 1983
18	44.10	Apr 13, 1898	Apr 26, 1898
19	44.00	May 15, 1893	May 28, 1893
20	43.90	May 28, 1908	Jun 10, 1908
21	43.90	May 23, 1892	Jun 5, 1892
22	43.40	Mar 21, 1909	Apr 3, 1909
23	43.10	Mar 15, 1890	Mar 28, 1890
24	43.05	Apr 19, 1888	May 2, 1888
25	43.00	Apr 16, 1906	Apr 29, 1906
26	42.90	Mar 26, 1891	Apr 8, 1891
27	42.50	Mar 17, 1997	Mar 30, 1997
28	42.20	Apr 10, 1899	Apr 23, 1899
29	42.10	Apr 3, 1945	Apr 16, 1945
30	41.70	Apr 15, 1904	Apr 28, 1904
31	41.60	Apr 17, 1979	Apr 30, 1979
32	41.60	Apr 5, 1975	Apr 18, 1975
33	41.20	Feb 28, 1882	Mar 13, 1882
34	40.84	May 18, 2009	May 31, 2009
35	40.80	Mar 5, 1884	Mar 18, 1884
36	40.70	Jun 4, 1995	Jun 17, 1995
37	40.40	Mar 30, 1923	Apr 12, 1923
38	40.30	Apr 27, 1886	May 10, 1886
39	40.20	Apr 24, 1994	May 7, 1994
40	40.10	May 17, 1984	May 30, 1984
41	40.05	Mar 4, 1883	Mar 17, 1883
42	39.80	Mar 30, 1907	Apr 12, 1907
43	39.60	May 31, 1943	Jun 13, 1943
44	39.45	Jul 15, 2015	Jul 28, 2015
45	39.40	Apr 27, 1911	May 10, 1911
46	39.20	Mar 30, 1919	Apr 12, 1919
47	39.19	May 24, 2002	Jun 6, 2002
48	39.00	Apr 19, 1936	May 2, 1936
49	38.70	May 20, 1961	Jun 2, 1961
50	38.50	Apr 15, 1916	Apr 28, 1916
51	38.40	May 6, 1944	May 19, 1944
52	37.82	May 5, 1998	May 18, 1998
53	37.20	Mar 7, 1939	Mar 20, 1939
54	37.04	May 12, 2013	May 25, 2013
55	37.00	May 16, 2010	May 29, 2010
56	36.90	Apr 3, 1962	Apr 16, 1962
57	36.60	May 24, 1996	Jun 6, 1996
58	36.40	Apr 16, 1993	Apr 29, 1993
59	36.31	May 20, 2003	Jun 2, 2003
60	36.24	May 31, 1990	Jun 13, 1990
61	36.00	May 3, 1901	May 16, 1901
62	35.96	May 1, 1885	May 14, 1885
63	35.90	Mar 10, 1985	Mar 23, 1985
64	35.90	Apr 29, 1921	May 12, 1921
65	35.60	Feb 28, 1937	Mar 13, 1937
66	35.60	Jun 12, 1915	Jun 25, 1915
67	35.40	Apr 19, 1938	May 2, 1938
68	35.20	Feb 28, 1950	Mar 13, 1950
69	35.10	Mar 15, 1910	Mar 28, 1910
70	34.90	Apr 9, 1948	Apr 22, 1948
71	34.80	Apr 16, 1914	Apr 29, 1914
72	34.60	Apr 1, 1952	Apr 14, 1952
73	34.40	May 7, 1970	May 20, 1970
74	34.40	May 27, 1905	Jun 9, 1905
75	34.30	Mar 3, 1989	Mar 16, 1989
76	34.20	Mar 21, 1902	Apr 3, 1902
77	34.10	Jun 11, 1974	Jun 24, 1974
78	33.90	Oct 15, 1926	Oct 28, 1926
79	33.80	Apr 1, 1978	Apr 14, 1978
80	33.80	Apr 15, 1965	Apr 28, 1965
81	33.60	Apr 4, 1980	Apr 17, 1980
82	33.50	Mar 28, 1963	Apr 10, 1963
83	33.31	Mar 10, 2016	Mar 23, 2016
84	33.00	Mar 13, 1930	Mar 26, 1930
85	32.90	Mar 22, 1894	Apr 4, 1894
86	32.60	Apr 22, 1991	May 5, 1991
87	32.60	Apr 11, 1932	Apr 24, 1932
88	32.40	Jun 19, 1924	Jul 2, 1924
